DATE TIME,CH1 ,CH1 
2015-09-17 17:25:19,26.70,42.40,
2015-09-17 17:25:29,26.90,42.40,
2015-09-17 17:25:39,27.00,43.00,
2015-09-17 17:25:49,26.80,43.40,
2015-09-17 17:25:59,26.80,44.00,
2015-09-17 17:26:09,27.10,44.00,
2015-09-17 17:26:19,27.10,44.30,
2015-09-17 17:26:29,26.70,44.90,
2015-09-17 17:26:39,26.90,45.60,
2015-09-17 17:26:49,27.00,45.90,
2015-09-17 17:26:59,27.00,44.80,
2015-09-17 17:27:09,26.30,35.50,
2015-09-17 17:27:19,26.30,31.30,
2015-09-17 17:27:29,26.10,29.80,
2015-09-17 17:27:39,26.00,28.60,
2015-09-17 17:27:49,25.80,28.30,
2015-09-17 17:27:59,25.60,27.70,
2015-09-17 17:28:09,25.60,27.60,
2015-09-17 17:28:19,25.50,27.40,
2015-09-17 17:28:29,25.50,27.40,
2015-09-17 17:28:39,25.70,27.40,
2015-09-17 17:28:49,26.30,28.10,
2015-09-17 17:28:59,25.90,27.30,
2015-09-17 17:29:09,26.00,27.10,
2015-09-17 17:29:19,25.80,27.00,
2015-09-17 17:29:29,25.40,26.60,
2015-09-17 17:29:39,25.40,26.20,
2015-09-17 17:29:49,25.50,26.30,
2015-09-17 17:29:59,25.50,26.30,
2015-09-17 17:30:09,25.70,26.50,
2015-09-17 17:30:19,25.90,27.50,
2015-09-17 17:30:29,25.80,27.70,
2015-09-17 17:30:39,25.90,27.90,
2015-09-17 17:30:49,26.20,28.30,
2015-09-17 17:30:59,26.80,28.80,
2015-09-17 17:31:09,26.80,28.80,
2015-09-17 17:31:19,26.60,28.80,
2015-09-17 17:31:29,26.60,28.60,
2015-09-17 17:31:39,26.50,28.50,
2015-09-17 17:31:49,26.50,28.50,
2015-09-17 17:31:59,26.30,28.30,
2015-09-17 17:32:09,26.30,28.30,
2015-09-17 17:32:19,26.50,28.30,
2015-09-17 17:32:29,26.60,28.40,
2015-09-17 17:32:39,26.60,28.40,
2015-09-17 17:32:49,26.60,28.40,
2015-09-17 17:32:59,26.80,28.40,
2015-09-17 17:33:09,26.80,28.40,
2015-09-17 17:33:19,26.80,28.40,
2015-09-17 17:33:29,26.60,28.40,
2015-09-17 17:33:39,26.50,28.30,
