
Project:     150917_paju_1
Program:     Waypoint ToolBox BETA Version 1.00.2506
Profile:     Extended Geographic (HMS)
Source:      GPS Epochs(Forward)

Datum:       WGS84
Remote:      Antenna height 0.000 m, to L1-PC (Generic)
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

        GPSTime       Date         Latitude        Longitude        H-Ell      SDHoriz     SDHeight     VEast    VNorth       VUp Sol       Roll      Pitch    Heading
          (HMS)      (MDY)       (+/-D M S)       (+/-D M S)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)          (Deg)      (Deg)      (Deg)
 8:24:29.000000  9/17/2015   37 39 38.41317  126 43 00.58528       38.983        0.929        1.135     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:30.000000  9/17/2015   37 39 38.41321  126 43 00.58531       38.985        0.929        1.135     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:31.000000  9/17/2015   37 39 38.41312  126 43 00.58548       38.988        0.908        1.126     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:32.000000  9/17/2015   37 39 38.41301  126 43 00.58568       38.991        0.919        1.130     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:33.000000  9/17/2015   37 39 38.41304  126 43 00.58555       38.992        0.910        1.125     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:34.000000  9/17/2015   37 39 38.41308  126 43 00.58552       38.993        0.945        1.139     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:35.000000  9/17/2015   37 39 38.41312  126 43 00.58548       38.994        0.913        1.125     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:36.000000  9/17/2015   37 39 38.41315  126 43 00.58545       38.995        0.934        1.134     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:37.000000  9/17/2015   37 39 38.41068  126 43 00.58729       39.132        0.913        1.125     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:38.000000  9/17/2015   37 39 38.41066  126 43 00.58727       39.133        0.924        1.129     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:39.000000  9/17/2015   37 39 38.41062  126 43 00.58730       39.133        0.899        1.087     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:40.000000  9/17/2015   37 39 38.41052  126 43 00.58749       39.136        0.865        1.073     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:41.000000  9/17/2015   37 39 38.41052  126 43 00.58738       39.136        0.889        1.082     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:42.000000  9/17/2015   37 39 38.41040  126 43 00.58754       39.139        0.891        1.082     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:43.000000  9/17/2015   37 39 38.41036  126 43 00.58750       39.141        0.868        1.073     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
 8:24:44.000000  9/17/2015   37 39 38.41037  126 43 00.58751       39.142        0.871        1.073     0.000     0.000     0.000 52     0.00000    0.00000    0.00000
